episode,reward,time,x,y,z,x_velocity,y_velocity,z_velocity
1,-44.934874243335834,1.2600000000000007,-0.9144538610329164,0.08333793693415799,0.0,-1.2029822467850018,-2.918566719162016,-16.39767048173777
2,-44.40774182398699,1.2600000000000007,-0.9124296669928256,-0.058306917900236545,0.0,-1.117256682124303,-3.117086307724904,-16.32343999858185
3,-44.649304703237,1.2600000000000007,-0.913271809171433,0.005714470447412283,0.0,-1.127082816199497,-3.019857948607511,-16.331035461525442
4,-49.57040391575922,1.5000000000000009,-0.3812434577057422,0.6976394400308817,0.0,-0.1364000602990536,2.0436552603188645,-11.946966933724845
5,-45.53728998995484,1.2600000000000007,1.0830470243623944,1.1657432317026415,0.0,1.5423509419819406,4.8078696382053465,-18.633253059513525
6,-32.81728413192991,1.0800000000000005,-0.48349673776083646,0.11482570167794283,0.0,-0.923903475802243,0.7697444200665662,-19.917659342376318
7,-31.662928310607164,2.820000000000002,0.7886627042926525,-12.60729434770987,0.0,2.7437395879328106,-5.8494313106346505,-16.066748909801973
8,-45.12736751411877,1.560000000000001,0.008950502162583036,0.2978455349801034,0.0,0.12048704917595929,0.4815496849267574,-14.440173621242085
9,-47.592136490648116,1.5000000000000009,-1.7165815760621579,-0.012974700450151387,0.0,-3.3697559506388495,-0.13838078693442823,-12.015515380185182
10,-43.8326446579114,1.2000000000000006,0.8909990111989318,-4.01775136910318,0.0,0.5861995090638963,-8.461018681048113,-17.07357347262853
11,-109.18375483552221,2.580000000000002,-4.89179457348044,-22.52390487045812,0.0,-1.1315668346903367,-18.230250009023507,-6.6603251786420765
12,-135.5167718534288,3.1200000000000023,-7.028268712459292,-30.91436805976761,0.0,-2.434698662666947,-19.37230383396243,-5.356028165867775
13,-126.85138671644467,2.940000000000002,-6.7178806621326475,-27.90713234033561,0.0,-2.790734477471239,-19.039886948908723,-5.762726623711511
14,-153.0978018310734,3.4800000000000026,-7.846240164932511,-36.53143388589101,0.0,-1.0937816248823569,-20.5787244531058,-4.819220985097393
15,-53.80555262589296,1.4400000000000008,-0.7458872248341046,1.5301833786005627,0.0,0.06770499859649849,1.603360388399456,-14.841198013373665
16,-50.51687320865235,1.560000000000001,-1.1103120553087946,0.809509899595252,0.0,-0.41005505371583384,1.8247135258602358,-13.66931313786839
17,-70.68745382196708,1.740000000000001,2.6194717375729972,-3.606161780245906,0.0,1.9805982245502336,-0.5765275033946642,-12.22411123497153
18,-45.63784252054798,1.2000000000000006,2.162256632317501,-2.488794797951611,0.0,2.070914524379576,-5.649494614101462,-19.00468267293889
19,-45.564282476525285,1.2000000000000006,2.8292347415139085,0.582753912524436,0.0,3.18148639837099,-0.03126182983256026,-20.357839386329818
20,-71.10206265887446,1.8000000000000012,-3.977324539805409,-5.98627716237506,0.0,-2.2717560165188186,-4.721144103358634,-13.410073694040182
21,-68.17007913872837,1.740000000000001,-3.8812163107810584,-5.333059083004803,0.0,-5.88318707465588,-4.043106507355701,-13.27050677998615
22,-67.90374757178408,1.740000000000001,-2.67783964128914,-3.5941982353044772,0.0,-4.495646187990194,-2.3672766372046503,-13.614568866411087
23,-73.94336621795802,1.8600000000000012,-0.4827732572945453,-5.328653678552447,0.0,1.9643147091703386,-3.7722538513508446,-13.388769979318486
24,-71.02959657879899,1.8000000000000012,-1.1427140551344994,-5.554036482509955,0.0,2.134693616948787,-4.6059459260379905,-13.088333617124357
25,-70.52175869545637,1.8000000000000012,-0.48235361631285456,-2.9089921397422223,0.0,0.28870979292051324,-1.8571808939613432,-13.394138822839235
26,-64.0210364497543,1.680000000000001,-2.585920085563579,-3.4876142601650306,0.0,-4.686112443429815,-3.4238056533749104,-14.191727593998118
27,-67.37659443876387,1.740000000000001,-3.39098356311375,-4.534510942842428,0.0,-0.11128616472293643,-4.072149094428258,-14.40764111878358
28,-73.65656076823623,1.8600000000000012,-2.2291561789055723,-5.136041177177742,0.0,1.451010376834053,-3.6143057353575547,-13.333452807792035
29,-68.05076694764652,1.740000000000001,0.3968406517974907,-6.574843346238573,0.0,3.904277771369624,-6.18355571191932,-10.422327713990606
30,-56.97843178716515,1.5000000000000009,-0.5905736497484378,-8.654002436466397,0.0,0.3398238708148163,-13.44837922315094,-13.012455566298685
31,-65.82522215755186,1.680000000000001,-1.2080834462363885,-10.93445020102286,0.0,-0.5063019191360614,-14.71601132677448,-11.08589436489685
32,-46.237573172951635,1.2000000000000006,1.0841524580393862,-4.688690066430967,0.0,0.9620843012977465,-8.887090982756238,-17.2448314835985
33,-50.252234116080004,1.2600000000000007,2.933611947636795,5.166052704443539,0.0,2.510762535953953,7.198339984039111,-19.421475800197737
34,-56.00909720892996,5.0399999999999805,21.01804004236242,23.117924496316736,8.572637700481886,5.682310961396263,11.218208857194128,3.590347307501912
35,-103.17162617780501,2.4600000000000017,-4.38788931289632,-21.062335786786974,0.0,-2.1521459517735844,-17.771504497723832,-7.23838658740239
36,-65.33294162592945,1.680000000000001,-1.5944113591468425,-10.782526524715013,0.0,-0.6473024968877292,-14.790597602033978,-11.724842466506932
37,-45.8462906972001,1.2000000000000006,0.9134074552861796,-4.659180473990435,0.0,0.7268517719480203,-8.940137843670655,-17.18897112744648
38,-79.60972704837981,1.9800000000000013,-9.160423489282344,-8.621379554836116,0.0,-9.57323813731216,-8.143614197452113,-13.999243296003435
39,-56.965310136115086,1.4400000000000008,-4.912838562205977,-0.6402974269162716,0.0,-1.774751896459032,-0.6710519820540533,-13.410637712140735
40,190.11516855400913,5.0399999999999805,-1.4228270384240296,-0.0019856073065748782,83.44743874343003,3.825631765533115,-0.001874375382156423,17.629433308307423
41,192.42903053516665,5.0399999999999805,20.951227392795587,0.023528356709607765,78.63907332588448,15.924728868946692,0.012825464212852446,11.053328529892022
