time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.307187844685828e-08,7.184462730615928e-07,10.003997305854503,0.0005457819081788884,6.282935278725617,0.0,1.4679727352318802e-05,5.780843616031768e-05,0.13323652471374192,0.022914028777262452,-0.014176732620060755,0.0,448.5477119852499,447.3952152848675,445.734491733387,447.6027607845468
0.12000000000000001,1.0452209980768273e-05,2.307364874330455e-05,10.017699611841204,0.0020918812093499994,6.2821320959483415,0.0,0.0004259632805476239,0.0008564608468059969,0.32347151500414284,0.03093946653280289,-0.011850794600542584,0.0,464.3481987508607,464.5307178853387,464.6144148622859,465.24318427651417
0.18,5.770417458640196e-05,0.00011972751205656361,10.038035941217315,0.003944110512112076,6.281752576315437,0.0,0.001197471375074132,0.002535499399868746,0.3543962373439061,0.030732200022804093,0.002910151554679481,0.0,414.1837779147019,415.47982338625087,414.2268119249179,414.20898783062717
0.23999999999999996,0.00016473107581607265,0.0003791337415943073,10.066682872243618,0.005432368684116895,6.281725836445823,0.0,0.0023595453943198287,0.0063217955104885835,0.6004035005747728,0.009022553505630922,-0.00818346208075952,0.0,482.0120910409722,481.1731406905591,481.57086753465927,479.92621944464645
0.3,0.00033941621085519164,0.0008769677471487952,10.106391629934866,0.006352976563507973,6.281204261233791,0.0,0.003516512931835661,0.010351737128050096,0.7231510565505013,0.025674217541507068,-0.00973183056242239,0.0,445.3594680941832,445.2329448099196,442.92811009709936,444.2951624171861
0.36000000000000004,0.0005984523045945628,0.0016563195640081926,10.155933359936272,0.008064140340585446,6.2816071272482805,0.0,0.005114550181016723,0.01581741635433212,0.9280945331170972,0.03367542497751141,0.0278425887546205,0.0,467.48610858481373,470.4043980131368,469.90878151591454,470.5287058889336
0.4200000000000001,0.0009389210784904546,0.002832082919785059,10.220519208829913,0.011348881416131107,0.00018726935784485477,0.0,0.006008648922929653,0.023742944790745242,1.2244945572047323,0.07943015757854893,0.032412742061206375,0.0,495.6153391262381,495.95124302378997,494.95398825472637,498.3109143661804
0.48000000000000015,0.001289071628867085,0.004489856618225064,10.295399317744254,0.016046498980322177,0.0019959154314808103,0.0,0.005485941925519775,0.03196112501318855,1.271451736983828,0.0759192689997322,0.0251706111280929,0.0,421.506954318518,420.88103063345307,421.5036011751688,421.2053640492451
0.5400000000000001,0.0015766753914782847,0.0067161479743404985,10.372298496173178,0.02062903677200012,0.003456361312132117,0.0,0.003966832115985469,0.04266035931139476,1.291823450424981,0.07727255487008539,0.022627391319321805,0.0,412.0138526414902,411.78909544575276,413.12407317478096,413.24846062059765
0.6000000000000002,0.0017308954063442138,0.0097598787065628,10.454681758456546,0.025057429019148536,0.005023509850962782,0.0,0.0010110116223058829,0.05929839480935799,1.4540805969679753,0.06577770313206534,0.03231903357673912,0.0,458.58433618411954,459.3535623551377,457.348088226038,456.4357735923739
0.6600000000000003,0.0016712830235305772,0.013892322748209663,10.546522137728045,0.028451629494371744,0.0073329852184480515,0.0,-0.0032328214583095365,0.0788644833183578,1.6070496134241654,0.02270358597670908,0.04861899390838659,0.0,455.18500510061244,456.48810885599954,456.9759420642095,453.531491047267
0.7200000000000003,0.0013283450433710783,0.019167414450271664,10.644210020632071,0.02946416844913191,0.010074039121763967,0.0,-0.008463104761497678,0.09708431991521058,1.6491468653144195,0.0014595986817162246,0.039054372293208094,0.0,421.8964995259986,421.0712711183181,421.07216803758934,419.230427750676
0.7800000000000004,0.000579263470844702,0.025669322448956516,10.748460463536397,0.02937897764308861,0.01230926601744553,0.0,-0.01676326994553818,0.11963860986870846,1.8255990029078788,-0.007910948715592654,0.03338571229167291,0.0,462.76577784382897,462.31997706353894,464.32796675415864,463.59234962508646
0.8400000000000004,-0.0007819632578499002,0.03366703982739479,10.868310132786645,0.028938169740072794,0.014691200504575619,0.0,-0.028909266193792617,0.1468710141139517,2.1688008399248613,-0.0062416769416474924,0.05001746410450816,0.0,510.663299152773,511.84876675638395,511.5460459617179,511.66501051637806
0.9000000000000005,-0.0028954420871898246,0.04319715484984076,11.005627800040845,0.029012262074647133,0.017420950815236758,0.0,-0.041886624215714145,0.1707703997752308,2.407975689416368,0.013078340819873125,0.034431312736622366,0.0,485.24176983334166,484.0713668739439,481.612880383503,483.07186039189895
0.9600000000000005,-0.005730855708875468,0.053970551442170785,11.150526999959915,0.030136759644439515,0.019696148022359417,0.0,-0.05282114747220561,0.18842808476573503,2.421960254932901,0.0281695815695434,0.044114301973596545,0.0,414.3245471794121,415.17576514812475,413.9060077293226,415.2319816738552
1.0200000000000005,-0.009305061401829212,0.06588607374721915,11.298222517124659,0.03196846895811234,0.022590501351746894,0.0,-0.06659074103080342,0.20892442789205007,2.501040326634437,0.034871232601994,0.055421158349444784,0.0,435.4605710511442,436.406806844964,435.94250394329185,436.50243738387496
1.0800000000000005,-0.013763822964733125,0.07906663921016516,11.450581947889194,0.03389057799364448,0.02569794446081808,0.0,-0.08234882146391545,0.23061957567219835,2.57742101496456,0.025656585543554104,0.04331058312852802,0.0,436.00410685139383,434.99291498470274,436.12185847052933,435.3519401782611
1.1400000000000006,-0.019234048882732786,0.09359377456767859,11.607773830699385,0.03549679640387371,0.028146266199883918,0.0,-0.10023926351725906,0.25376727275959754,2.662099208198841,0.0289092659945588,0.03525569637437405,0.0,438.4612531838177,437.79245353459913,439.0716888298179,439.3416234817947
